㐀	~[FFE;][RE;][REE;][YZE;]
𥱄	~[ZEDC;][ZGNC;]
𥱅	~[ZOBR;]
𥱆	~[ZLP;][ZLUY;]
𥱇	~[ZRF;][ZTNF;]
𥱈	~[ZSA;]
𥱉	~[ZQA;][ZQAK;]
𥱊	~[ZLRN;]
𥱋	~[ZWDT;]
𥱌	~[ZPID;]
𥱍	~[ZCRA;][ZCZ;]
𥱎	~[ZSNY;]
𥱏	~[ZJNY;]
𥱐	~[ZOQ;]
𥱑	~[ZBKU;]
𥱒	~[ZWW;]
𥱓	~[ZTEB;][ZTEO;][ZTTB;][ZTTO;]
𥱔	~[ZAFF;][ZAQF;][ZKF;]
𥱕	~[ZKBU;]
𥱖	~[ZZES;][ZZPS;]
𥱗	~[ZEAL;][ZEAP;][ZENL;][ZENP;][ZTNL;][ZTNP;]
𥱘	~[ZXUT;]
𥱙	~[ZRP;][ZTNP;]
𥱚	~[ZOXF;]
𥱛	~[ZTC;]
𥱜	~[ZTFK;]
𥱝	~[ZTFK;]
𥱞	~[ZMPA;][ZMRA;]
𥱟	~[ZOAO;][ZOBO;]
𥱠	~[ZOSO;]
𥱡	~[ZFAL;][ZFAP;]
𥱢	~[ZFPX;]
𥱣	~[ZAOB;]
𥱤	~[ZPIM;][ZPP;]
𥱥	~[ZBPT;]
𥱦	~[ZSD;]
𥱧	~[ZFNH;]
𥱨	~[ZHS;]
𥱩	~[ZYB;][ZYBB;]
𥱪	~[ZQU;]
𥱫	~[ZDEU;]
𥱬	~[ZIFL;]
𥱭	~[ZPEK;]
𥱮	~[ZJEG;]
𥱯	~[ZDYA;]
𥱰	~[ZMIZ;]
𥱱	~[ZLZO;]
𥱲	~[ZZW;]
𥱳	~[ZAB;][ZADB;]
𥱴	~[ZJAQ;][ZJI;]
𥱵	~[ZEED;]
𥱶	~[ZDXX;][ZJXB;]
𥱷	~[ZAYB;]
𥱸	~[ZFOO;][ZFX;]
𥱹	~[ZRDD;]
𥱺	~[ZCDP;]
𥱻	~[ZATW;][ZBHW;]
𥱼	~[ZWPG;]
𥱽	~[ZOBP;][ZOP;]
𥱾	~[ZZOF;][ZZOX;]
𥱿	~[ZZPR;]
𥲀	~[ZSQT;]
𥲁	~[ZRW;][ZTNW;]
𥲂	~[ZWAG;][ZWBK;][ZWPG;]
𥲃	~[ZNRP;]
𥲄	~[ZWFF;]
𥲅	~[ZFFH;][ZQFH;]
𥲆	~[ZTN;][ZTNW;][ZTW;]
𥲇	~[ZSK;][ZSNR;]
𥲈	~[ZRNB;]
𥲉	~[ZZH;]
𥲊	~[ZRDP;]
𥲋	~[ZMII;][ZMIT;]
𥲌	~[ZWKU;][ZWWU;]
𥲍	~[ZRFD;][ZROD;]
𥲎	~[ZBY;][ZBYY;]
𥲏	~[ZDRU;]
𥲐	~[ZTWO;]
𥲑	~[ZDFU;][ZMX;]
𥲒	~[ZIRT;][ZIZT;]
𥲓	~[ZEHK;]
𥲔	~[ZEOQ;]
𥲕	~[ZZFS;]
𥲖	~[ZZMP;][ZZNP;]
𥲗	~[ZBNZ;]
𥲘	~[ZGUK;]
𥲙	~[ZJMR;][ZJNJ;][ZJNR;]
𥲚	~[ZWNS;]
𥲛	~[ZSPA;]
𥲜	~[ZZF;]
𥲝	~[ZEEP;]
𥲞	~[ZCEO;]
𥲟	~[ZANA;]
𥲠	~[ZFUK;]
𥲡	~[ZNBH;][ZNRH;]
𥲢	~[ZOTT;]
𥲣	~[ZMBK;]
𥲤	~[ZZFE;]
𥲥	~[ZAOF;]
𥲦	~[ZCDB;][ZCEF;][ZCJF;]
𥲧	~[ZHDT;][ZHRT;]
𥲨	~[ZMBM;]
𥲩	~[ZDBB;]
𥲪	~[ZQBL;][ZYSL;]
𥲫	~[ZBD;][ZBED;]
𥲬	~[ZFVA;][ZFVX;]
𥲭	~[ZFNN;]
𥲮	~[ZLDR;][ZLHR;][ZLOR;]
𥲯	~[ZXXP;][ZYPP;]
𥲰	~[ZLQ;]
𥲱	~[ZWV;]
𥲲	~[ZKBM;]
𥲳	~[ZJE;][ZJEN;]
𥲴	~[ZTTM;]
𥲵	~[ZJB;][ZJBE;][ZJBO;]
𥲶	~[ZJFQ;]
𥲷	~[ZJJQ;]
𥲸	~[ZDDF;][ZDDH;]
𥲹	~[ZMUD;]
𥲺	~[ZQDJ;]
𥲻	~[ZMDL;][ZMDP;]
𥲼	~[ZPEU;][ZPTU;]
𥲽	~[ZBBW;]
𥲾	~[ZNW;][ZNWS;]
𥲿	~[ZEEM;][ZEM;]
𥳀	~[ZCA;][ZCRA;]
𥳁	~[ZZFE;]
𥳂	~[ZQPO;]
𥳃	~[FFOP;][ZFOP;]
𥳄	~[ZNA;][ZNEB;]
𥳅	~[ZIW;]
𥳆	~[ZBX;][ZSNP;]
𥳇	~[ZMIP;][ZMIV;]
𥳈	~[ZMMM;]
𥳉	~[ZHB;][ZYPB;]
𥳊	~[ZFX;][ZJQU;]
𥳋	~[ZUF;][ZUH;][ZUUF;][ZUUH;]
𥳌	~[ZBPS;]
𥳍	~[ZEIA;]
𥳎	~[ZIRC;][ZIZC;]
𥳏	~[ZWB;][ZWWB;]
𥳐	~[ZMK;]
𥳑	~[ZMU;]
𥳒	~[ZWAO;][ZWK;]
𥳓	~[ZHSU;]
𥳔	~[ZBXU;]
𥳕	~[ZBGU;][ZBU;][ZBYU;]
𥳖	~[ZTLO;]
𥳗	~[ZMT;][ZMTB;]
𥳘	~[ZLQ;]
𥳙	~[ZOD;][ZOER;]
𥳚	~[ZEAF;][ZJF;][ZNBF;][ZUAF;]
𥳛	~[ZGL;][ZLOK;][ZLSK;]
𥳜	~[ZBDM;][ZBE;]
𥳝	~[ZHHH;]
𥳞	~[ZMC;][ZMCS;]
𥳟	~[ZVW;]
𥳠	~[ZZRW;]
𥳡	~[ZJA;][ZJRB;]
𥳢	~[ZBED;]
𥳣	~[ZDEU;][ZDRU;]
𥳤	~[ZEQW;]
𥳥	~[ZNHQ;]
𥳦	~[ZSNS;]
𥳧	~[ZKZZ;]
𥳨	~[ZCBU;][ZCRU;]
𥳩	~[ZDDR;][ZOQR;]
𥳪	~[ZMRW;]
𥳫	~[ZFBU;][ZROU;]
𥳬	~[ZQF;]
𥳭	~[ZZZD;]
𥳮	~[ZUUS;]
𥳯	~[ZTRD;]
𥳰	~[ZBEA;]
𥳱	~[ZSRR;]
𥳲	~[ZBDL;]
𥳳	~[ZJDZ;][ZJJ;]
𥳴	~[ZXXU;]
𥳵	~[ZSDC;][ZSDL;][ZSNC;][ZSNL;]
𥳶	~[ZSNH;]
𥳷	~[ZWB;][ZWBR;]
𥳸	~[ZALR;][ZBIR;]
𥳹	~[ZALB;][ZBIB;]
𥳺	~[ZJNH;]
𥳻	~[ZWHM;]
𥳼	~[ZHDG;]
𥳽	~[ZKBI;]
𥳾	~[ZANB;][ZANR;]
𥳿	~[ZDCW;][ZEAW;][ZNCW;]
𥴀	~[ZLDY;][ZLHY;][ZLOY;]
𥴁	~[ZLHQ;][ZLOQ;][ZLQ;]
𥴂	~[ZQEJ;][ZQEQ;][ZQJ;][ZQJQ;][ZQKQ;][ZQTQ;]
𥴃	~[ZBIJ;][ZRIJ;]
𥴄	~[ZNBJ;][ZNBQ;][ZNRJ;][ZNRQ;]
𥴅	~[ZMC;]
𥴆	~[ZYBU;][ZYPU;]
𥴇	~[ZTFQ;]
𥴈	~[ZTAQ;][ZTK;]
𥴉	~[ZPUD;][ZRND;][ZWBD;]
𥴊	~[ZIRP;][ZTRP;]
𥴋	~[ZIRI;][ZTRI;]
𥴌	~[ZMDT;]
𥴍	~[ZTJQ;]
𥴎	~[ZPFQ;][ZPNQ;][ZPOQ;]
𥴏	~[ZAF;]
𥴐	~[ZIII;]
𥴑	~[ZES;]
𥴒	~[ZZZ;]
𥴓	~[ZPBY;]
𥴔	~[ZBBM;]
𥴕	~[ZQBE;]
𥴖	~[ZTPG;]
𥴗	~[ZSLR;][ZST;][ZSTR;]
𥴘	~[ZGGT;]
𥴙	~[ZTQ;][ZTZJ;]
𥴚	~[ZPMJ;]
𥴛	~[ZTV;]
𥴜	~[ZIDO;]
𥴝	~[ZXB;]
𥴞	~[ZOW;][ZOWS;]
𥴟	~[ZHHG;][ZTHG;]
𥴠	~[ZMDW;]
𥴡	~[ZFD;][ZRFD;][ZROD;]
𥴢	~[ZHV;]
𥴣	~[ZZPF;]
𥴤	~[ZUEW;]
𥴥	~[ZMUR;]
𥴦	~[ZBEW;]
𥴧	~[ZZEQ;][ZZN;]
𥴨	~[ZENP;][ZHX;]
𥴩	~[ZBET;]
𥴪	~[ZQNW;]
𥴫	~[ZCRU;]
𥴬	~[ZCOL;][ZPJ;]
𥴭	~[ZTD;][ZTDB;][ZTDL;]
𥴮	~[ZJAA;][ZJIA;]
𥴯	~[ZLPU;][ZLV;]
𥴰	~[ZLHU;]
𥴱	~[ZLKF;]
𥴲	~[ZOXH;]
𥴳	~[ZQCH;]
𥴴	~[ZANO;][ZANU;]
𥴵	~[ZDDC;]
𥴶	~[ZPCB;][ZPSB;]
𥴷	~[ZZCM;]
𥴸	~[ZFNA;][ZFNB;]
𥴹	~[ZJMB;][ZJNB;]
𥴺	~[ZBEH;][ZRWH;]
𥴻	~[ZJAO;]
𥴼	~[ZFEL;][ZFET;][ZFS;]
𥴽	~[ZWP;][ZWPT;]
𥴾	~[ZYAA;][ZYIA;]
𥴿	~[ZLYO;]
𥵀	~[ZDFF;]
𥵁	~[ZEWF;]
𥵂	~[ZZOD;][ZZON;]
𥵃	~[ZAQF;][ZKF;]
𥵄	~[ZWDQ;][ZWOQ;]
𥵅	~[ZTNH;]
𥵆	~[ZLDH;]
𥵇	~[ZKD;][ZKER;]
𥵈	~[ZYVF;]
𥵉	~[ZUQ;]
𥵊	~[ZAD;][ZAQD;]
𥵋	~[ZAFE;][ZAFF;][ZAFM;]
𥵌	~[ZBNF;]
𥵍	~[ZQPN;]
𥵎	~[ZPKB;]
𥵏	~[ZEBK;]
𥵐	~[ZDBF;]
𥵑	~[ZMNN;]
𥵒	~[ZDNR;]
𥵓	~[ZGYU;]
𥵔	~[ZLOG;]
𥵕	~[ZDDF;]
𥵖	~[ZUQH;]
𥵗	~[ZLDI;]
𥵘	~[ZDER;]
𥵙	~[ZFQ;][ZFZJ;]
𥵚	~[ZRCD;]
𥵛	~[ZFFK;][ZROK;]
𥵜	~[ZPFB;][ZPFD;][ZPV;]
𥵝	~[ZAPB;][ZAPT;][ZATB;][ZATT;]
𥵞	~[ZJAV;]
𥵟	~[ZFH;][ZFYD;]
𥵠	~[ZYNU;]
𥵡	~[ZTJ;][ZTJY;]
𥵢	~[ZAA;][ZFA;][ZFEA;]
𥵣	~[ZLD;][ZLER;]
𥵤	~[ZSQ;][ZSZJ;]
𥵥	~[ZMA;][ZMN;][ZWRB;]
𥵦	~[ZEUU;]
𥵧	~[ZEFF;]
𥵨	~[ZPMF;][ZPNF;]
𥵩	~[ZVV;][ZVVP;]
𥵪	~[ZLCK;]
𥵫	~[ZRUB;][ZRUK;][ZRUQ;]
𥵬	~[ZLEM;]
𥵭	~[ZLHK;][ZLNK;][ZLOK;][ZQK;]
𥵮	~[ZSAH;]
𥵯	~[ZEQZ;]
𥵰	~[ZTET;]
𥵱	~[ZDBH;]
𥵲	~[ZFFR;][ZNBR;][ZNRR;]
𥵳	~[ZEEG;]
𥵴	~[ZVH;][ZVOH;]
𥵵	~[ZRDN;]
𥵶	~[ZFBO;][ZRFO;][ZROO;]
𥵷	~[ZEQQ;][ZUQQ;]
𥵸	~[ZPMN;][ZPNN;]
𥵹	~[ZSNS;]
𥵺	~[ZMDS;]
𥵻	~[ZSV;]
𥵼	~[ZWBO;]
𥵽	~[ZYLO;][ZYZO;]
𥵾	~[ZHGQ;]
𥵿	~[ZRNQ;]
𥶀	~[ZSOL;]
𥶁	~[ZLJS;][ZLVS;]
𥶂	~[ZKBC;]
𥶃	~[ZRFC;]
𥶄	~[ZGJP;][ZGVP;]
𥶅	~[ZWEQ;][ZWOQ;]
𥶆	~[ZMOO;]
𥶇	~[ZUFD;]
𥶈	~[ZNEP;]
𥶉	~[ZDEX;][ZMEX;]
𥶊	~[ZMDF;]
𥶋	~[ZNMQ;]
𥶌	~[ZZQH;]
𥶍	~[ZSE;][ZSEP;][ZSEU;]
𥶎	~[ZWBF;][ZWWF;]
𥶏	~[ZIN;][ZINO;]
𥶐	~[ZBCB;][ZBQ;]
𥶑	~[ZBKA;][ZBKK;][ZBKX;]
𥶒	~[ZFFC;][ZFFS;]
𥶓	~[ZFU;][ZFUF;]
𥶔	~[ZLBF;]
𥶕	~[ZFBO;]
𥶖	~[ZFFR;]
𥶗	~[ZFVM;]
𥶘	~[ZNGF;]
𥶙	~[ZFFH;]
𥶚	~[ZFBO;][ZROO;]
𥶛	~[ZOZJ;][ZOZZ;]
𥶜	~[ZGJL;]
𥶝	~[ZGEA;][ZGER;][ZGNR;][ZGUR;]
𥶞	~[ZWAF;]
𥶟	~[ZLBF;][ZOOF;][ZOOH;]
𥶠	~[ZTUM;]
𥶡	~[ZCAM;]
𥶢	~[ZSOW;]
𥶣	~[ZNDS;][ZNL;]
𥶤	~[ZLQO;]
𥶥	~[ZTT;][ZTTW;]
𥶦	~[ZYFB;][ZYM;]
𥶧	~[ZNBO;][ZNBQ;][ZNRO;][ZNRQ;]
𥶨	~[ZCAB;]
𥶩	~[ZDLM;]
𥶪	~[ZJBD;]
𥶫	~[ZGBM;]
𥶬	~[ZFFF;][ZHHF;]
𥶭	~[ZJAT;][ZJBH;][ZJDH;][ZJDT;][ZQBH;]
𥶮	~[ZTEV;]
𥶯	~[PQRQ;][PRUQ;][VZIQ;]
𥶰	~[ZCB;][ZCBD;]
𥶱	~[ZPDU;][ZPDV;]
𥶲	~[ZLOO;]
𥶳	~[ZSAO;][ZSK;]
𥶴	~[ZBXY;]
𥶵	~[ZGMU;]
𥶶	~[ZYBM;][ZYNM;]
𥶷	~[ZOLW;]
𥶸	~[ZCUW;][ZJQW;][ZXW;]
𥶹	~[ZHUE;]
𥶺	~[ZKBT;]
𥶻	~[ZBXW;]
𥶼	~[ZBBW;]
𥶽	~[ZMII;][ZMIT;]
𥶾	~[ZTRW;][ZYRW;]
𥶿	~[ZMDG;][ZMNG;]
𥷀	~[ZRFF;][ZROF;]
𥷁	~[ZLDL;]
𥷂	~[ZEBK;][ZEBR;][ZIBR;][ZTBK;][ZTBR;]
𥷃	~[ZGET;][ZGNT;][ZGUT;]
𥷄	~[ZAR;][ZBR;]
𥷅	~[ZLHF;]
𥷆	~[ZYNU;]
𥷇	~[ZOOO;]
𥷈	~[ZTLQ;]
𥷉	~[ZMIP;]
𥷊	~[ZDBW;][ZLW;]
𥷋	~[ZOK;][ZOOK;]
𥷌	~[ZIRH;][ZTRH;]
𥷍	~[ZDDA;]
𥷎	~[ZZSB;][ZZST;]
𥷏	~[ZAP;][ZAPN;]
𥷐	~[ZJFG;]
𥷑	~[ZAQN;][ZKN;]
𥷒	~[ZLHZ;]
𥷓	~[ZXEG;]
𥷔	~[ZCEB;][ZCGB;][ZECB;][ZGCB;]
𥷕	~[ZKBT;]
𥷖	~[ZMCW;]
𥷗	~[ZTRW;][ZYRW;]
𥷘	~[ZJEV;]
𥷙	~[ZFLR;]
𥷚	~[ZYBI;][ZYNI;]
𥷛	~[ZGDE;][ZLOE;][ZLSE;]
𥷜	~[ZVRC;]
𥷝	~[ZCRU;]
𥷞	~[ZNSB;][ZOSB;]
𥷟	~[ZWWF;]
𥷠	~[ZZOF;][ZZOX;]
𥷡	~[ZFAB;][ZFO;]
𥷢	~[ZEDR;][ZERR;][ZOAR;]
𥷣	~[ZEBU;][ZIBU;][ZTBU;][ZWOU;]
𥷤	~[ZDBI;]
𥷥	~[ZRCM;]
𥷦	~[ZZOJ;]
𥷧	~[ZWEV;]
𥷨	~[ZRRR;]
𥷩	~[ZJTV;]
𥷪	~[ZJJE;][ZJYQ;]
𥷫	~[ZQFO;]
𥷬	~[ZRE;][ZROV;]
𥷭	~[ZTTP;]
𥷮	~[ZEFA;]
𥷯	~[ZFBG;][ZRRG;]
𥷰	~[ZWJE;][ZWYQ;]
𥷱	~[ZCMP;][ZCMV;]
𥷲	~[ZMIP;]
𥷳	~[ZZUZ;]
𥷴	~[ZDBI;]
𥷵	~[ZFFF;]
𥷶	~[ZFFA;][ZFFX;][ZFFZ;]
𥷷	~[ZROC;][ZROO;][ZRVC;][ZRVL;][ZRVO;]
𥷸	~[ZLBD;]
𥷹	~[ZZZZ;]
𥷺	~[ZIRD;]
𥷻	~[ZUMW;]
𥷼	~[ZGOZ;][ZLOZ;][ZLSZ;]
𥷽	~[ZCRB;]
𥷾	~[ZFUF;]
𥷿	~[ZSQF;]
𥸀	~[ZRKA;]
𥸁	~[ZRCV;]
𥸂	~[ZOOU;]
𥸃	~[ZGQU;][ZGYU;]
𥸄	~[ZIKD;]
𥸅	~[ZPMW;][ZPNW;]
𥸆	~[ZUS;][ZUSS;]
𥸇	~[ZOOU;]
𥸈	~[ZSNF;]
𥸉	~[ZAT;][ZLUT;]
𥸊	~[ZLQB;][ZLQT;]
𥸋	~[ZGYM;]
𥸌	~[ZVUU;][ZVVU;]
𥸍	~[ZMO;][ZMOJ;]
𥸎	~[ZUBF;]
𥸏	~[ZLHA;][ZLHX;][ZLHZ;][ZLNA;][ZLNX;][ZLNZ;][ZLOA;][ZLOX;][ZLOZ;][ZQUA;][ZQUX;][ZQUZ;]
𥸐	~[ZUL;][ZUOO;]
𥸑	~[ZOON;][ZOOO;]
𥸒	~[ZDL;][ZDLK;]
𥸓	~[ZJRR;]
𥸔	~[ZIJV;][ZIYQ;]
𥸕	~[ZQQS;]
𥸖	~[ZZOA;][ZZOI;][ZZOU;]
𥸗	~[ZWLB;]
𥸘	~[ZWMU;]
𥸙	~[ZOZA;][ZOZL;]
𥸚	~[ZYFR;][ZYMR;]
𥸛	~[ZZUZ;]
𥸜	~[ZLDB;][ZLDO;]
𥸝	~[ZIQB;]
𥸞	~[ZZUB;]
𥸟	~[ZZUZ;]
𥸠	~[ZQUD;]
𥸡	~[ZLDB;]
𥸢	~[ZKKC;]
𥸣	~[ZQFI;][ZQFV;]
𥸤	~[ZAOB;][ZAOT;]
𥸥	~[YMN;]
𥸦	~[LMN;][ZMN;]
𥸧	~[MTI;]
𥸨	~[ESS;][FMN;]
𥸩	~[MUX;]
𥸪	~[MBN;]
𥸫	~[PRM;]
𥸬	~[MBI;]
𥸭	~[MRJ;]
𥸮	~[YMN;]
𥸯	~[MEN;][MLY;][MVY;]
𥸰	~[MET;][MRI;]
𥸱	~[MPR;]
𥸲	~[MQK;][MQY;]
𥸳	~[MJU;]
𥸴	~[MTLY;]
𥸵	~[MEL;]
𥸶	~[MKJ;]
𥸷	~[MIN;]
𥸸	~[LMD;][MLD;]
𥸹	~[MWX;]
𥸺	~[MPI;][MPY;]
𥸻	~[MNAE;][MNL;]
𥸼	~[MDN;][MNX;]
𥸽	~[MKL;][MKZ;]
𥸾	~[MFP;]
𥸿	~[CLM;][CMN;]
𥹀	~[MHA;]
𥹁	~[MVF;]
𥹂	~[MBE;]
𥹃	~[MPA;]
𥹄	~[ZNM;]
𥹅	~[MHP;]
𥹆	~[MCF;]
𥹇	~[MUR;]
𥹈	~[MNF;]
𥹉	~[MOU;]
𥹊	~[MFO;]
𥹋	~[MUO;]
𥹌	~[DOM;]
𥹍	~[MNT;]
𥹎	~[MBG;]
𥹏	~[DUM;]
𥹐	~[FPET;][FPM;][ZLET;][ZLM;]
𥹑	~[MSL;]
𥹒	~[MPJ;]
𥹓	~[MY;][MYU;]
𥹔	~[MAX;][MAXU;]
𥹕	~[MAP;][MAT;]
𥹖	~[MPX;]
𥹗	~[MBA;]
𥹘	~[MEB;][MEN;][MENB;][MTNB;]
𥹙	~[MDO;]
𥹚	~[MEDE;]
𥹛	~[KPM;]
𥹜	~[MLX;]
𥹝	~[MPNO;]
𥹞	~[MIQX;][MIX;]
𥹟	~[ZNUM;]
𥹠	~[MCC;]
𥹡	~[GOM;]
𥹢	~[MRJ;]
𥹣	~[MME;][MNR;]
𥹤	~[MME;][MNJ;]
𥹥	~[MSE;]
𥹦	~[WRAM;][WZM;]
𥹧	~[MEJ;]
𥹨	~[MAXI;]
𥹩	~[MYA;]
𥹪	~[MPS;]
𥹫	~[MMN;]
𥹬	~[MRK;][MYPK;]
𥹭	~[WDAM;]
𥹮	~[MCJ;][MCS;]
𥹯	~[MLN;]
𥹰	~[MGNN;]
𥹱	~[MWD;]
𥹲	~[MBOR;]
𥹳	~[MNRR;]
𥹴	~[MZS;]
𥹵	~[MJCS;][MVS;]
𥹶	~[MSU;]
𥹷	~[MTS;]
𥹸	~[MJNZ;]
𥹹	~[CMM;]
𥹺	~[LEM;]
𥹻	~[MTR;][SEBR;]
𥹼	~[MUFB;][MUYZ;]
𥹽	~[MEA;]
𥹾	~[MPF;]
𥹿	~[MFY;]
𥺀	~[MBQP;][MTP;]
𥺁	~[MLYA;]
𥺂	~[MNBO;][MNRO;]
𥺃	~[MYH;]
𥺄	~[MYPZ;]
𥺅	~[MFA;]
𥺆	~[MOK;]
𥺇	~[MLM;][MML;]
𥺈	~[MJK;]
𥺉	~[MDE;]
𥺊	~[MSO;]
𥺋	~[EEBM;][EUBM;]
𥺌	~[MAT;][MBH;]
𥺍	~[MNBG;][MNRG;]
𥺎	~[MMB;]
𥺏	~[MOI;]
𥺐	~[MOK;]
𥺑	~[MENU;][MRX;]
𥺒	~[MIQK;]
𥺓	~[MOPO;]
𥺔	~[OIM;]
𥺕	~[MJC;][MJCL;]
𥺖	~[MBO;]
𥺗	~[MCO;][MERO;]
𥺘	~[MRSS;]
𥺙	~[MYBP;][MYRP;][MYX;]
𥺚	~[MTK;]
𥺛	~[MQG;][MQPJ;]
𥺜	~[WCFM;]
𥺝	~[MNO;][MNYO;]
𥺞	~[MTU;]
𥺟	~[RSSM;]
𥺠	~[RFNM;][RFRM;][RONM;]
𥺡	~[MBVA;]
𥺢	~[MPQ;]
𥺣	~[MEE;]
𥺤	~[FSUM;]
𥺥	~[MNM;]
𥺦	~[MLZO;][MXZO;]
𥺧	~[MLEB;][MLEN;]
𥺨	~[MLJO;][MLZO;]
𥺩	~[MBEP;][MRWP;]
𥺪	~[MWU;]
𥺫	~[MFM;]
𥺬	~[MZF;]
𥺭	~[MDBK;][MXB;][MXK;]
𥺮	~[MRD;]
𥺯	~[MRBD;]
𥺰	~[MDT;]
𥺱	~[MFSU;]
𥺲	~[MEE;]
𥺳	~[MOLU;]
𥺴	~[MAYH;]
𥺵	~[MRUU;]
𥺶	~[MCVD;]
𥺷	~[MCEE;][MCEU;]
𥺸	~[MCD;][MCLD;]
𥺹	~[MNCP;]
𥺺	~[MEL;]
𥺻	~[MAE;]
𥺼	~[MOE;]
𥺽	~[MAM;]
𥺾	~[MZU;]
𥺿	~[MDTO;][MVO;]
𥻀	~[MPPO;]
𥻁	~[MDI;][MER;][METR;]
𥻂	~[MCS;][MJQS;]
𥻃	~[MJCR;][MVSR;]
𥻄	~[MBPD;]
𥻅	~[MEOQ;]
𥻆	~[ZOBM;]
𥻇	~[MAQO;][MKO;]
𥻈	~[MST;]
𥻉	~[MDL;][MDNB;][MDNL;]
𥻊	~[FVDM;]
𥻋	~[MCB;][MCSB;]
𥻌	~[JCSM;][VSRM;]
𥻍	~[MCED;]
𥻎	~[MRBY;][MSBY;]
𥻏	~[MQH;]
𥻐	~[MCM;]
𥻑	~[MQNU;]
𥻒	~[MCM;]
𥻓	~[MBIO;][MRIO;]
𥻔	~[MJR;][MJS;][MSSS;]
𥻕	~[FFQB;][MFQB;][MFYS;]
𥻖	~[MBEQ;]
𥻗	~[MTDE;]
𥻘	~[MCS;][MCSS;]
𥻙	~[MBKD;]
𥻚	~[MLD;]
𥻛	~[MCY;]
𥻜	~[MQAD;]
𥻝	~[MGQ;]
𥻞	~[MNPO;]
𥻟	~[MRD;][MTND;]
𥻠	~[MMS;]
𥻡	~[MCM;]
𥻢	~[MOPM;]
𥻣	~[MJYA;]
𥻤	~[MNEE;]
𥻥	~[MEOT;]
𥻦	~[XATM;][XTRM;]
𥻧	~[MBEF;][MQN;]
𥻨	~[MJNS;]
𥻩	~[MNDL;]
𥻪	~[MJB;][MJL;][MJLB;][MQQB;][MQQL;][MSB;]
𥻫	~[ESSE;][ESSM;][FMFM;]
𥻬	~[MVU;]
𥻭	~[MGY;][MLNF;]
𥻮	~[MNL;]
𥻯	~[MLOR;][MOLR;]
𥻰	~[MJE;][MJNY;]
𥻱	~[MOMB;]
𥻲	~[MADO;]
𥻳	~[YRSM;]
𥻴	~[TMPM;]
𥻵	~[MDYA;]
𥻶	~[MED;]
𥻷	~[MPDE;][MPDJ;]
𥻸	~[MFTE;]
𥻹	~[MRBT;]
𥻺	~[MEWD;]
𥻻	~[MSNB;]
𥻼	~[MWF;]
𥻽	~[MADO;]
𥻾	~[MMPU;][MMRN;]
𥻿	~[MLA;][MLXU;][MWUU;]
𥼀	~[MAQS;]
𥼁	~[MLBJ;][MLJ;][MLWJ;]
𥼂	~[MEV;]
𥼃	~[MHMB;]
𥼄	~[MHM;]
𥼅	~[XPLM;][YPLM;]
𥼆	~[YCRM;][YMN;]
𥼇	~[MJEN;]
𥼈	~[MJEE;][MJEU;]
𥼉	~[MRBY;]
𥼊	~[MLPG;]
𥼋	~[QBPM;][YSPM;]
𥼌	~[MLRF;]
𥼍	~[MNPD;]
𥼎	~[MBEP;][MRYP;]
𥼏	~[MCS;]
𥼐	~[MOOS;]
𥼑	~[MQM;]
𥼒	~[SDM;]
𥼓	~[MRNQ;]
𥼔	~[MWTK;]
𥼕	~[MZL;]
𥼖	~[MVOP;][MVX;]
𥼗	~[MCLB;]
𥼘	~[MWB;][MWWB;]
𥼙	~[MCEF;][MEWF;]
𥼚	~[MVF;]
𥼛	~[MMMM;]
𥼜	~[MFB;][MFEB;][MFED;][MVN;]
𥼝	~[MBL;][MBLU;][MBWU;]
𥼞	~[MRSF;]
𥼟	~[MFBB;][MFMK;][MFPB;][MFQ;]
𥼠	~[MRST;]
𥼡	~[MNLB;]
𥼢	~[MRDT;][MRQT;][MSDT;][MSQT;]
𥼣	~[MVFF;]
𥼤	~[MKBK;]
𥼥	~[MCNF;][MJQF;]
𥼦	~[MEQQ;]
𥼧	~[MRQT;]
𥼨	~[MCM;][MCSM;]
𥼩	~[MCEB;][MQA;]
𥼪	~[MBBD;]
𥼫	~[MCCM;]
𥼬	~[MMM;]
𥼭	~[MMC;][MMCS;]
𥼮	~[MSM;]
𥼯	~[MQF;]
𥼰	~[MJD;]
𥼱	~[MEDO;][MGNO;][MGO;][MPDO;]
𥼲	~[MIRP;][MTRP;]
𥼳	~[MOH;]
𥼴	~[MMD;]
𥼵	~[MAF;][MAQF;]
𥼶	~[MFY;][MFYG;]
𥼷	~[MLOE;][MLOM;]
𥼸	~[MUAP;][MUAT;]
𥼹	~[MGYU;]
𥼺	~[MPL;][MPML;]
𥼻	~[MBIB;][MRIB;]
𥼼	~[MAJP;][MIFP;]
𥼽	~[MSNQ;][MSO;]
𥼾	~[MLT;][MOOT;]
𥼿	~[RNGM;]
𥽀	~[EEMV;][EUMV;]
𥽁	~[MXI;]
𥽂	~[GYRM;]
𥽃	~[MPDF;][MPEF;][MPMF;]
𥽄	~[MSLR;]
𥽅	~[MLBG;]
𥽆	~[MZCM;]
𥽇	~[MAQH;][MKH;]
𥽈	~[MFD;][MROD;]
𥽉	~[MFDG;]
𥽊	~[METP;][MMJP;]
𥽋	~[MAOB;][MOA;]
𥽌	~[MBTW;][MHW;]
𥽍	~[MTTS;]
𥽎	~[MGBF;][MGQ;]
